holistic_essay_score,Formality,Narrativity,SentenceStructure,SentenceLength,SentenceComplexity,Cohesion,Dialogue,Organization,GrammarUsage,Concreteness,Conventionality,Mechanics,Interactivity,Contextualization,StanceTaking,VocabularyLength,VocabularyFrequency,lt_final_scr,logdta,logdtu
3,0.0208767983825707,-0.338737525379786,-0.53912338465598,0.0519572031384907,-1.14555690664981,0.360789971650979,-0.217062733126306,0.506585950511045,-0.627762764801561,-0.375802898974164,0.320760178751428,0.442494151527356,0.38288991219055,-0.37515577442172,0.220355567638495,-0.608854879890232,0.744605235124538,0.538886703371056,-0.99380348213062,1.19379217074056
4,0.792905196100077,-0.929376562746258,0.745660565678811,0.414483731277459,1.02262638953575,-0.642262337760242,-1.32270870396499,0.545392899827943,0.393685593380765,1.14355408217989,0.999692317147515,0.806419845139994,-0.863546603511924,-0.337399413198637,0.866623862315023,0.936478823587045,-0.526923645853439,0.212041413263508,-0.156044941497686,0.439119232800947
2,0.497302116308493,-0.934186635625922,0.987326149797365,0.939619871036987,1.37594676039657,0.0381102218664243,-1.32270870396499,-0.752350644048115,-0.620473417183918,0.525526286895626,0.803717275214348,0.522346550820709,-0.921445713497818,-0.395374151849197,0.887913035772362,1.42445253667121,-1.17128316935598,0.796401174364881,-0.723152129241179,-0.43567618764876
4,1.89247805493977,-0.876496973144906,1.04754531792003,0.515957047337942,1.24464219657824,0.244268632206848,-1.32270870396499,0.416947912823244,0.448858839506379,0.525894944940973,0.531328373057261,0.289210504882455,-1.40389260830711,-0.356790546885376,-0.274338151610631,1.83631807480931,-0.960726847990885,-0.233656709610421,-0.642748155906954,0.658343199995024
4,0.732432168166828,0.462926799107508,-0.21560501078603,-0.375279928860604,0.117809900785204,0.151193777265836,1.43784601723477,0.307883901987745,-0.380861363258208,0.459894886012278,0.353927406676516,0.264226404231788,-0.328452120507895,-0.349642862030454,-0.171946924887115,0.71722620248355,-0.5015719759955,-0.233656709610421,-0.504087727891153,0.658343199995024
3,1.74598009285464,-1.39268155968805,0.488760204718334,0.322572004740041,0.5748787540284,-0.0235676171066768,-1.32270870396499,-0.159507492899826,-0.722064020147468,0.939653552062132,0.864798527908818,0.5588328435486,-2.62494267101649,-1.03985364001479,0.185037728421421,1.03377664297689,-1.40703189964009,0.836018785287008,-0.772371175387217,-0.0963297379446078
4,0.55059007510798,-1.14096536720174,0.0375096489975612,-0.0553712399647846,0.271545141558854,-0.618011618863711,-0.149640146234933,0.383885752438067,-0.937034905536643,0.736405358416216,0.889822130614318,0.863127110254345,-0.364570586372131,-1.38764194041657,0.696609517367309,0.291121935356266,-0.358809650429184,0.637930730676373,-0.853869278929392,0.854445721036408
3,0.90413988025238,-1.17119721624592,1.69903856587693,1.8775159222462,1.37866387651787,-0.386709204252644,-0.0152172433512993,-0.566478355474535,-0.672650210334412,-2.27785380575649,1.39508310486359,1.02061900247259,-1.43570885974306,-1.52906341764259,1.66322997525437,0.945920807301616,-0.402586782533149,-0.362413945107334,2.26504292876896,-2.14112458456938
2,2.6925356801966,-0.151999048950353,0.338775029611405,0.0785586173658263,0.670660898833994,0.76621091486967,0.684933962561648,0.241514119875706,-0.640932607966181,0.544705420961862,-0.75759240530707,-0.999431143946239,-3.15833525993532,-0.768783856591847,0.009333503732026,2.73915676785669,-3.48219374341056,0.0634753723055313,0.666729774717611,-0.0963297379446078
4,1.67800996583539,-0.349439803419979,1.43070535129594,1.35037254413709,1.15707054717737,0.397879544111631,0.619067775579257,1.11599549269034,1.0245656907901,0.805914371740018,0.592058450463263,0.358484150752156,-2.39301052952735,-0.935671347380656,0.104774494492635,1.14712522127739,-1.25868637090663,0.122901788688722,0.730417842351041,0.190583597147087
